Date,Hour,Minute,Power (W)
11/3/2013,0,0,3.93
11/3/2013,0,15,3.92
11/3/2013,0,30,3.9
11/3/2013,0,45,3.93
11/3/2013,1,0,3.92
11/3/2013,1,15,3.91
11/3/2013,1,30,3.91
11/3/2013,1,45,3.91
11/3/2013,2,0,3.91
11/3/2013,2,15,3.91
11/3/2013,2,30,4.27
11/3/2013,2,45,4.41
11/3/2013,3,0,4.23
11/3/2013,3,15,4.38
11/3/2013,3,30,4.27
11/3/2013,3,45,3.82
11/3/2013,4,0,3.82
11/3/2013,4,15,4.64
11/3/2013,4,30,3.8
11/3/2013,4,45,3.81
11/3/2013,5,0,3.81
11/3/2013,5,15,3.79
11/3/2013,5,30,3.81
11/3/2013,5,45,3.8
11/3/2013,6,0,3.81
11/3/2013,6,15,3.81
11/3/2013,6,30,3.81
11/3/2013,6,45,3.78
11/3/2013,7,0,3.82
11/3/2013,7,15,3.82
11/3/2013,7,30,3.85
11/3/2013,7,45,3.8
11/3/2013,8,0,3.8
11/3/2013,8,15,3.8
11/3/2013,8,30,3.83
11/3/2013,8,45,3.82
11/3/2013,9,0,3.83
11/3/2013,9,15,3.82
11/3/2013,9,30,3.83
11/3/2013,9,45,3.84
11/3/2013,10,0,3.85
11/3/2013,10,15,3.83
11/3/2013,10,30,3.85
11/3/2013,10,45,3.85
11/3/2013,11,0,3.83
11/3/2013,11,15,3.85
11/3/2013,11,30,3.87
11/3/2013,11,45,3.89
11/4/2013,12,0,3.89
11/4/2013,12,15,3.91
11/4/2013,12,30,3.93
11/4/2013,12,45,3.92
11/4/2013,13,0,3.91
11/4/2013,13,15,3.92
11/4/2013,13,30,3.93
11/4/2013,13,45,3.91
11/4/2013,15,15,3.91
11/4/2013,15,30,3.92
11/4/2013,15,45,3.92
11/4/2013,16,0,3.92
11/4/2013,16,15,3.92
11/4/2013,16,30,3.92
11/4/2013,16,45,3.9
11/4/2013,17,0,3.91
11/4/2013,17,15,3.91
11/4/2013,17,30,3.91
11/4/2013,17,45,3.91
11/4/2013,18,0,3.92
11/4/2013,18,15,3.91
11/4/2013,18,30,3.91
11/4/2013,18,45,3.92
11/4/2013,19,0,3.91
11/4/2013,19,15,3.9
11/4/2013,19,30,3.91
11/4/2013,19,45,3.9
11/4/2013,20,0,3.91
11/4/2013,20,15,3.9
11/4/2013,20,30,3.9
11/4/2013,20,45,3.9
11/4/2013,21,0,3.9
11/4/2013,21,15,3.9
11/4/2013,21,30,3.89
11/4/2013,21,45,3.91
11/4/2013,22,0,3.93
11/4/2013,22,15,3.91
11/4/2013,22,30,3.9
11/4/2013,22,45,3.89
11/4/2013,23,0,3.9
11/4/2013,23,15,3.9
11/4/2013,23,30,3.89
11/4/2013,23,45,3.89
11/4/2013,0,0,3.88
11/4/2013,0,15,3.87
11/4/2013,0,30,3.87
11/4/2013,0,45,3.87
11/4/2013,1,0,3.87
11/4/2013,1,15,3.88
11/4/2013,1,30,3.88
11/4/2013,1,45,3.88
11/4/2013,2,0,4.64
11/4/2013,2,15,3.93
11/4/2013,2,30,3.93
11/4/2013,2,45,3.94
11/4/2013,3,0,4.45
11/4/2013,3,15,3.96
11/4/2013,3,30,3.95
11/4/2013,3,45,4.43
11/4/2013,4,0,3.81
11/4/2013,4,15,3.8
11/4/2013,4,30,3.81
11/4/2013,4,45,3.78
11/4/2013,5,0,3.78
11/4/2013,5,15,3.79
11/4/2013,5,30,3.81
11/4/2013,5,45,3.83
11/4/2013,6,0,3.82
11/4/2013,6,15,3.84
11/4/2013,6,30,4.28
11/4/2013,6,45,3.82
11/4/2013,7,0,3.82
11/4/2013,7,15,3.83
11/4/2013,7,30,3.83
11/4/2013,7,45,4.51
11/4/2013,8,0,4.28
11/4/2013,8,15,3.83
11/4/2013,8,30,4.03
11/4/2013,8,45,3.79
11/4/2013,9,0,3.77
11/4/2013,9,15,4.88
11/4/2013,9,30,3.8
11/4/2013,9,45,3.82
11/4/2013,10,0,3.83
11/4/2013,10,15,3.84
11/4/2013,10,30,3.85
11/4/2013,10,45,3.84
11/4/2013,11,0,3.84
11/4/2013,11,15,3.83
11/4/2013,11,30,3.85
11/4/2013,11,45,3.86
11/5/2013,12,0,3.87
11/5/2013,12,15,3.88
11/5/2013,12,30,3.89
11/5/2013,12,45,3.87
11/5/2013,13,0,3.87
11/5/2013,13,15,3.89
11/5/2013,13,30,3.87
11/5/2013,13,45,3.88
11/5/2013,14,0,3.91
11/5/2013,14,15,3.93
11/5/2013,14,30,3.93
11/5/2013,14,45,3.93
11/5/2013,15,0,3.94
11/5/2013,15,15,3.92
11/5/2013,15,30,3.91
11/5/2013,15,45,3.92
11/5/2013,16,0,3.93
