Date,Hour,Minute,Power (kW)
5/1/2012,0,0,13.57
5/1/2012,0,15,13.06
5/1/2012,0,30,7.36
5/1/2012,0,45,7.42
5/1/2012,1,0,7.87
5/1/2012,1,15,14.08
5/1/2012,1,30,13.7
5/1/2012,1,45,14.02
5/1/2012,2,0,12.16
5/1/2012,2,15,7.62
5/1/2012,2,30,24.58
5/1/2012,2,45,7.55
5/1/2012,3,0,13.25
5/1/2012,3,15,13.18
5/1/2012,3,30,12.42
5/1/2012,3,45,7.49
5/1/2012,4,0,12.86
5/1/2012,4,15,13.31
5/1/2012,4,30,7.3
5/1/2012,4,45,12.93
5/1/2012,5,0,8.45
5/1/2012,5,15,7.04
5/1/2012,5,30,12.67
5/1/2012,5,45,13.89
5/1/2012,6,0,7.36
5/1/2012,6,15,7.23
5/1/2012,6,30,13.06
5/1/2012,6,45,7.3
5/1/2012,7,0,7.42
5/1/2012,7,15,7.3
5/1/2012,7,30,14.46
5/1/2012,7,45,14.34
5/1/2012,8,0,8.58
5/1/2012,8,15,8.83
5/1/2012,8,30,14.66
5/1/2012,8,45,14.53
5/1/2012,9,0,14.72
5/1/2012,9,15,13.38
5/1/2012,9,30,8.06
5/1/2012,9,45,8.32
5/1/2012,10,0,8.26
5/1/2012,10,15,7.36
5/1/2012,10,30,7.74
5/1/2012,10,45,13.18
5/1/2012,11,0,13.18
5/1/2012,11,15,13.76
5/1/2012,11,30,12.74
5/1/2012,11,45,7.42
5/1/2012,12,0,7.17
5/1/2012,12,15,7.42
5/1/2012,12,30,7.94
5/1/2012,12,45,13.76
5/1/2012,13,0,13.89
5/1/2012,13,15,13.18
5/1/2012,13,30,13.5
5/1/2012,13,45,7.55
5/1/2012,14,0,7.42
5/1/2012,14,15,7.74
5/1/2012,14,30,13.12
5/1/2012,14,45,7.3
5/1/2012,15,0,7.62
5/1/2012,15,15,13.12
5/1/2012,15,30,7.55
5/1/2012,15,45,13.06
5/1/2012,16,0,13.25
5/1/2012,16,15,7.87
5/1/2012,16,30,7.74
5/1/2012,16,45,14.27
5/1/2012,17,0,13.76
5/1/2012,17,15,8.64
5/1/2012,17,30,15.49
5/1/2012,17,45,14.66
5/1/2012,18,0,8.7
5/1/2012,18,15,14.08
5/1/2012,18,30,8.7
5/1/2012,18,45,14.34
5/1/2012,19,0,9.73
5/1/2012,19,15,8.9
5/1/2012,19,30,14.14
5/1/2012,19,45,9.22
5/1/2012,20,0,14.46
5/1/2012,20,15,9.98
5/1/2012,20,30,14.14
5/1/2012,20,45,8.45
5/1/2012,21,0,14.14
5/1/2012,21,15,7.68
5/1/2012,21,30,7.94
5/1/2012,21,45,12.8
5/1/2012,22,0,7.62
5/1/2012,22,15,13.12
5/1/2012,22,30,12.16
5/1/2012,22,45,8.26
5/1/2012,23,0,13.06
5/1/2012,23,15,7.62
