Date,Hour,Minute,Power (W)
11/3/2013,0,0,1.27
11/3/2013,0,15,1.27
11/3/2013,0,30,1.27
11/3/2013,0,45,1.24
11/3/2013,1,0,1.23
11/3/2013,1,15,1.23
11/3/2013,1,30,1.23
11/3/2013,1,45,1.22
11/3/2013,2,0,1.23
11/3/2013,2,15,1.23
11/3/2013,2,30,1.23
11/3/2013,2,45,1.22
11/3/2013,3,0,1.22
11/3/2013,3,15,1.24
11/3/2013,3,30,1.24
11/3/2013,3,45,1.23
11/3/2013,4,0,1.23
11/3/2013,4,15,1.23
11/3/2013,4,30,1.23
11/3/2013,4,45,1.24
11/3/2013,5,0,1.23
11/3/2013,5,15,1.24
11/3/2013,5,30,1.24
11/3/2013,5,45,1.24
11/3/2013,6,0,1.24
11/3/2013,6,15,1.24
11/3/2013,6,30,1.24
11/3/2013,6,45,1.24
11/3/2013,7,0,1.24
11/3/2013,7,15,1.24
11/3/2013,7,30,1.51
11/3/2013,7,45,1.23
11/3/2013,8,0,1.22
11/3/2013,8,15,1.92
11/3/2013,8,30,1.25
11/3/2013,8,45,1.23
11/3/2013,9,0,1.24
11/3/2013,9,15,1.24
11/3/2013,9,30,1.24
11/3/2013,9,45,1.23
11/3/2013,10,0,1.24
11/3/2013,10,15,1.24
11/3/2013,10,30,1.23
11/3/2013,10,45,1.24
11/3/2013,11,0,1.24
11/3/2013,11,15,1.24
11/3/2013,11,30,1.24
11/3/2013,11,45,1.24
11/4/2013,12,0,1.24
11/4/2013,12,15,1.25
11/4/2013,12,30,1.26
11/4/2013,12,45,1.26
11/4/2013,13,0,1.25
11/4/2013,13,15,1.26
11/4/2013,13,30,1.26
11/4/2013,13,45,1.25
11/4/2013,15,15,1.25
11/4/2013,15,30,1.25
11/4/2013,15,45,1.26
11/4/2013,16,0,1.25
11/4/2013,16,15,1.25
11/4/2013,16,30,1.25
11/4/2013,16,45,1.24
11/4/2013,17,0,1.24
11/4/2013,17,15,1.25
11/4/2013,17,30,1.25
11/4/2013,17,45,1.25
11/4/2013,18,0,1.25
11/4/2013,18,15,1.25
11/4/2013,18,30,1.25
11/4/2013,18,45,1.25
11/4/2013,19,0,1.25
11/4/2013,19,15,1.25
11/4/2013,19,30,1.25
11/4/2013,19,45,1.25
11/4/2013,20,0,1.25
11/4/2013,20,15,1.25
11/4/2013,20,30,1.25
11/4/2013,20,45,1.24
11/4/2013,21,0,1.24
11/4/2013,21,15,1.24
11/4/2013,21,30,1.23
11/4/2013,21,45,1.25
11/4/2013,22,0,1.25
11/4/2013,22,15,1.25
11/4/2013,22,30,1.24
11/4/2013,22,45,1.23
11/4/2013,23,0,1.24
11/4/2013,23,15,1.24
11/4/2013,23,30,1.23
11/4/2013,23,45,1.23
11/4/2013,0,0,1.23
11/4/2013,0,15,1.23
11/4/2013,0,30,1.23
11/4/2013,0,45,1.23
11/4/2013,1,0,1.23
11/4/2013,1,15,1.23
11/4/2013,1,30,1.23
11/4/2013,1,45,1.23
11/4/2013,2,0,1.23
11/4/2013,2,15,1.23
11/4/2013,2,30,1.23
11/4/2013,2,45,1.23
11/4/2013,3,0,1.24
11/4/2013,3,15,1.24
11/4/2013,3,30,1.24
11/4/2013,3,45,1.24
11/4/2013,4,0,1.38
11/4/2013,4,15,1.24
11/4/2013,4,30,1.24
11/4/2013,4,45,1.24
11/4/2013,5,0,1.24
11/4/2013,5,15,1.24
11/4/2013,5,30,1.24
11/4/2013,5,45,1.24
11/4/2013,6,0,1.24
11/4/2013,6,15,1.25
11/4/2013,6,30,1.24
11/4/2013,6,45,1.81
11/4/2013,7,0,1.24
11/4/2013,7,15,1.24
11/4/2013,7,30,1.63
11/4/2013,7,45,1.25
11/4/2013,8,0,2.1
11/4/2013,8,15,1.73
11/4/2013,8,30,1.4
11/4/2013,8,45,1.54
11/4/2013,9,0,1.97
11/4/2013,9,15,2.58
11/4/2013,9,30,1.23
11/4/2013,9,45,1.23
11/4/2013,10,0,1.22
11/4/2013,10,15,1.23
11/4/2013,10,30,1.22
11/4/2013,10,45,1.23
11/4/2013,11,0,1.23
11/4/2013,11,15,1.23
11/4/2013,11,30,1.23
11/4/2013,11,45,1.23
11/5/2013,12,0,1.23
11/5/2013,12,15,1.23
11/5/2013,12,30,1.23
11/5/2013,12,45,1.24
11/5/2013,13,0,1.24
11/5/2013,13,15,1.24
11/5/2013,13,30,1.25
11/5/2013,13,45,1.25
11/5/2013,14,0,1.25
11/5/2013,14,15,1.26
11/5/2013,14,30,1.25
11/5/2013,14,45,1.25
11/5/2013,15,0,1.26
11/5/2013,15,15,1.25
11/5/2013,15,30,1.24
11/5/2013,15,45,1.24
11/5/2013,16,0,1.25
