Date,Hour,Minute,Power (W)
12/5/2013,5,0,1.23
12/5/2013,5,15,1.23
12/5/2013,5,30,1.23
12/5/2013,5,45,1.24
12/5/2013,6,0,1.24
12/5/2013,6,15,1.24
12/5/2013,6,30,1.25
12/5/2013,6,45,1.25
12/5/2013,7,0,1.24
12/5/2013,7,15,1.23
12/5/2013,7,30,1.23
12/5/2013,7,45,1.23
12/5/2013,8,0,1.23
12/5/2013,8,15,1.23
12/5/2013,8,30,1.23
12/5/2013,8,45,1.23
12/5/2013,9,0,1.23
12/5/2013,9,15,1.23
12/5/2013,9,30,1.23
12/5/2013,9,45,1.23
12/5/2013,10,0,1.23
12/5/2013,10,15,1.23
12/5/2013,10,30,1.23
12/5/2013,10,45,1.24
12/5/2013,11,0,1.24
12/5/2013,11,15,1.24
12/5/2013,11,30,1.24
12/5/2013,11,45,1.38
12/5/2013,12,0,1.24
12/5/2013,12,15,1.24
12/5/2013,12,30,1.24
12/5/2013,12,45,1.24
12/5/2013,13,0,1.24
12/5/2013,13,15,1.24
12/5/2013,13,30,1.24
12/5/2013,13,45,1.24
12/5/2013,14,0,1.25
12/5/2013,14,15,1.24
12/5/2013,14,30,1.81
12/5/2013,14,45,1.24
12/5/2013,15,0,1.24
12/5/2013,15,15,1.63
12/5/2013,15,30,1.25
12/5/2013,15,45,2.1
12/5/2013,16,0,1.73
12/5/2013,16,15,1.4
12/5/2013,16,30,1.54
12/5/2013,16,45,1.97
12/5/2013,17,0,2.58
12/5/2013,17,15,1.23
12/5/2013,17,30,1.23
12/5/2013,17,45,1.22
12/5/2013,18,0,1.23
12/5/2013,18,15,1.22
12/5/2013,18,30,1.23
12/5/2013,18,45,1.23
12/5/2013,19,0,1.23
12/5/2013,19,15,1.23
12/5/2013,19,30,1.23
12/5/2013,19,45,1.23
