Date,Hour,Minute,Power (kW)
5/1/2012,0,0,11.58
5/1/2012,0,15,11.58
5/1/2012,0,30,11.58
5/1/2012,0,45,11.9
5/1/2012,1,0,18.94
5/1/2012,1,15,15.74
5/1/2012,1,30,12.35
5/1/2012,1,45,11.84
5/1/2012,2,0,11.84
5/1/2012,2,15,16.96
5/1/2012,2,30,12.1
5/1/2012,2,45,14.27
5/1/2012,3,0,17.54
5/1/2012,3,15,16.45
5/1/2012,3,30,18.24
5/1/2012,3,45,15.94
5/1/2012,4,0,12.29
5/1/2012,4,15,12.29
5/1/2012,4,30,11.78
5/1/2012,4,45,17.6
5/1/2012,5,0,17.41
5/1/2012,5,15,16.51
5/1/2012,5,30,12.29
5/1/2012,5,45,11.78
5/1/2012,6,0,17.02
5/1/2012,6,15,12.16
5/1/2012,6,30,12.22
5/1/2012,6,45,15.68
5/1/2012,7,0,12.03
5/1/2012,7,15,17.22
5/1/2012,7,30,12.22
5/1/2012,7,45,11.71
5/1/2012,8,0,11.71
5/1/2012,8,15,14.85
5/1/2012,8,30,12.1
5/1/2012,8,45,11.58
5/1/2012,9,0,11.58
5/1/2012,9,15,17.22
5/1/2012,9,30,12.42
5/1/2012,9,45,11.9
5/1/2012,10,0,11.9
5/1/2012,10,15,11.9
5/1/2012,10,30,11.9
5/1/2012,10,45,14.46
5/1/2012,11,0,12.22
5/1/2012,11,15,11.71
5/1/2012,11,30,17.22
5/1/2012,11,45,16.9
5/1/2012,12,0,12.29
5/1/2012,12,15,11.71
5/1/2012,12,30,12.29
5/1/2012,12,45,12.03
5/1/2012,13,0,12.1
5/1/2012,13,15,16.38
5/1/2012,13,30,20.42
5/1/2012,13,45,20.67
5/1/2012,14,0,17.22
5/1/2012,14,15,12.42
5/1/2012,14,30,12.29
5/1/2012,14,45,18.62
5/1/2012,15,0,16.32
5/1/2012,15,15,11.97
5/1/2012,15,30,11.65
5/1/2012,15,45,12.16
5/1/2012,16,0,20.67
5/1/2012,16,15,20.22
5/1/2012,16,30,17.6
5/1/2012,16,45,12.29
5/1/2012,17,0,12.22
5/1/2012,17,15,11.71
5/1/2012,17,30,11.71
5/1/2012,17,45,19.84
5/1/2012,18,0,17.34
5/1/2012,18,15,16.7
5/1/2012,18,30,12.1
5/1/2012,18,45,11.97
5/1/2012,19,0,11.97
5/1/2012,19,15,12.42
5/1/2012,19,30,12.35
5/1/2012,19,45,14.53
5/1/2012,20,0,12.35
5/1/2012,20,15,11.78
5/1/2012,20,30,11.78
5/1/2012,20,45,11.78
5/1/2012,21,0,11.78
5/1/2012,21,15,11.78
