Date,Hour,Minute,Power (W)
11/3/2013,0,0,3.95
11/3/2013,0,15,3.95
11/3/2013,0,30,3.94
11/3/2013,0,45,4.02
11/3/2013,1,0,3.99
11/3/2013,1,15,3.99
11/3/2013,1,30,4.01
11/3/2013,1,45,3.99
11/3/2013,2,0,3.97
11/3/2013,2,15,3.94
11/3/2013,2,30,3.96
11/3/2013,2,45,3.98
11/3/2013,3,0,3.97
11/3/2013,3,15,3.99
11/3/2013,3,30,3.96
11/3/2013,3,45,3.97
11/3/2013,4,0,3.98
11/3/2013,4,15,3.97
11/3/2013,4,30,3.95
11/3/2013,4,45,3.99
11/3/2013,5,0,3.96
11/3/2013,5,15,3.97
11/3/2013,5,30,3.99
11/3/2013,5,45,3.98
11/3/2013,6,0,3.95
11/3/2013,6,15,3.94
11/3/2013,6,30,3.97
11/3/2013,6,45,3.99
11/3/2013,7,0,3.92
11/3/2013,7,15,3.97
11/3/2013,7,30,3.98
11/3/2013,7,45,3.92
11/3/2013,8,0,3.99
11/3/2013,8,15,3.97
11/3/2013,8,30,3.97
11/3/2013,8,45,3.95
11/3/2013,9,0,3.95
11/3/2013,9,15,3.92
11/3/2013,9,30,3.91
11/3/2013,9,45,3.9
11/3/2013,10,0,3.9
11/3/2013,10,15,3.92
11/3/2013,10,30,3.89
11/3/2013,10,45,3.89
11/3/2013,11,0,3.88
11/3/2013,11,15,3.91
11/3/2013,11,30,3.89
11/3/2013,11,45,3.88
11/4/2013,12,0,3.93
11/4/2013,12,15,3.98
11/4/2013,12,30,3.9
11/4/2013,12,45,4.01
11/4/2013,13,0,4.01
11/4/2013,13,15,4.02
11/4/2013,13,30,4.01
11/4/2013,13,45,4
11/4/2013,15,15,3.99
11/4/2013,15,30,3.98
11/4/2013,15,45,4.01
11/4/2013,16,0,3.99
11/4/2013,16,15,4
11/4/2013,16,30,4
11/4/2013,16,45,3.98
11/4/2013,17,0,3.92
11/4/2013,17,15,3.92
11/4/2013,17,30,3.91
11/4/2013,17,45,3.96
11/4/2013,18,0,3.95
11/4/2013,18,15,3.97
11/4/2013,18,30,3.96
11/4/2013,18,45,3.92
11/4/2013,19,0,3.93
11/4/2013,19,15,3.93
11/4/2013,19,30,3.94
11/4/2013,19,45,3.94
11/4/2013,20,0,3.93
11/4/2013,20,15,3.97
11/4/2013,20,30,3.98
11/4/2013,20,45,4.01
11/4/2013,21,0,4.04
11/4/2013,21,15,4.04
11/4/2013,21,30,4.04
11/4/2013,21,45,4.05
11/4/2013,22,0,4.05
11/4/2013,22,15,4.06
11/4/2013,22,30,4.07
11/4/2013,22,45,4.05
11/4/2013,23,0,4.08
11/4/2013,23,15,4.06
11/4/2013,23,30,4.06
11/4/2013,23,45,4.05
11/4/2013,0,0,4.02
11/4/2013,0,15,4.04
11/4/2013,0,30,4.07
11/4/2013,0,45,4.07
11/4/2013,1,0,4.08
11/4/2013,1,15,4.07
11/4/2013,1,30,4.08
11/4/2013,1,45,4.07
11/4/2013,2,0,4.06
11/4/2013,2,15,4.09
11/4/2013,2,30,4.06
11/4/2013,2,45,4.07
11/4/2013,3,0,4.06
11/4/2013,3,15,4.08
11/4/2013,3,30,4.07
11/4/2013,3,45,4.07
11/4/2013,4,0,4.07
11/4/2013,4,15,4.06
11/4/2013,4,30,4.06
11/4/2013,4,45,4.04
11/4/2013,5,0,4.03
11/4/2013,5,15,4.03
11/4/2013,5,30,4.02
11/4/2013,5,45,4
11/4/2013,6,0,3.98
11/4/2013,6,15,3.99
11/4/2013,6,30,3.99
11/4/2013,6,45,4.01
11/4/2013,7,0,3.98
11/4/2013,7,15,4.01
11/4/2013,7,30,4.03
11/4/2013,7,45,4
11/4/2013,8,0,4.06
11/4/2013,8,15,4.07
11/4/2013,8,30,4.03
11/4/2013,8,45,4.03
11/4/2013,9,0,4.03
11/4/2013,9,15,4.05
11/4/2013,9,30,4.07
11/4/2013,9,45,3.99
11/4/2013,10,0,3.96
11/4/2013,10,15,21.62
11/4/2013,10,30,14.65
11/4/2013,10,45,4.16
11/4/2013,11,0,4.15
11/4/2013,11,15,4.16
11/4/2013,11,30,4.22
11/4/2013,11,45,4.2
11/5/2013,12,0,5.16
11/5/2013,12,15,27.05
11/5/2013,12,30,4.06
11/5/2013,12,45,30.22
11/5/2013,13,0,26.51
11/5/2013,13,15,20.01
11/5/2013,13,30,4.02
11/5/2013,13,45,3.96
11/5/2013,14,0,4
11/5/2013,14,15,3.97
11/5/2013,14,30,21.88
11/5/2013,14,45,37.67
11/5/2013,15,0,3.94
11/5/2013,15,15,3.87
11/5/2013,15,30,3.91
11/5/2013,15,45,33.93
11/5/2013,16,0,3.85
11/5/2013,16,15,3.83
11/5/2013,16,30,3.82
11/5/2013,16,45,3.87
11/5/2013,17,0,3.86
11/5/2013,17,15,3.86
11/5/2013,17,30,3.87
11/5/2013,17,45,3.88
11/5/2013,18,0,3.85
11/5/2013,18,15,3.86
11/5/2013,18,30,3.91
11/5/2013,18,45,3.97
11/5/2013,19,0,3.97
11/5/2013,19,15,3.92
11/5/2013,19,30,3.99
11/5/2013,19,45,3.95
11/5/2013,20,0,3.96
11/5/2013,20,15,3.94
11/5/2013,20,30,4.04
11/5/2013,20,45,4.01
11/5/2013,21,0,3.97
11/5/2013,21,15,3.93
11/5/2013,21,30,3.97
11/5/2013,21,45,3.97
11/5/2013,22,0,3.89
11/5/2013,22,15,3.9
11/5/2013,22,30,3.94
11/5/2013,22,45,3.97
11/5/2013,23,0,3.98
11/5/2013,23,15,3.94
11/5/2013,23,30,3.97
11/5/2013,23,45,4
