Date,Hour,Minute,Power (W)
11/3/2013,0,0,7.55
11/3/2013,0,15,7.56
11/3/2013,0,30,7.6
11/3/2013,0,45,7.63
11/3/2013,1,0,7.62
11/3/2013,1,15,7.59
11/3/2013,1,30,7.59
11/3/2013,1,45,7.62
11/3/2013,2,0,7.64
11/3/2013,2,15,7.62
11/3/2013,2,30,7.64
11/3/2013,2,45,7.6
11/3/2013,3,0,7.49
11/3/2013,3,15,7.42
11/3/2013,3,30,7.44
11/3/2013,3,45,7.52
11/3/2013,4,0,7.51
11/3/2013,4,15,7.52
11/3/2013,4,30,7.52
11/3/2013,4,45,7.52
11/3/2013,5,0,7.54
11/3/2013,5,15,7.54
11/3/2013,5,30,7.52
11/3/2013,5,45,7.58
11/3/2013,6,0,7.56
11/3/2013,6,15,7.6
11/3/2013,6,30,7.6
11/3/2013,6,45,7.6
11/3/2013,7,0,7.6
11/3/2013,7,15,7.56
11/3/2013,7,30,7.65
11/3/2013,7,45,7.66
11/3/2013,8,0,7.65
11/3/2013,8,15,7.61
11/3/2013,8,30,7.59
11/3/2013,8,45,7.58
11/3/2013,9,0,7.57
11/3/2013,9,15,7.57
11/3/2013,9,30,7.54
11/3/2013,9,45,7.42
11/3/2013,10,0,7.44
11/3/2013,10,15,7.41
11/3/2013,10,30,7.37
11/3/2013,10,45,7.39
11/3/2013,11,0,7.42
11/3/2013,11,15,7.44
11/3/2013,11,30,7.44
11/3/2013,11,45,7.43
11/4/2013,12,0,7.43
11/4/2013,12,15,7.41
11/4/2013,12,30,7.45
11/4/2013,12,45,26.94
11/4/2013,13,0,125.61
11/4/2013,13,15,125.66
11/4/2013,13,30,61.48
11/4/2013,13,45,7.41
11/4/2013,15,15,7.42
11/4/2013,15,30,7.43
11/4/2013,15,45,7.45
11/4/2013,16,0,7.47
11/4/2013,16,15,7.47
11/4/2013,16,30,7.48
11/4/2013,16,45,7.48
11/4/2013,17,0,7.47
11/4/2013,17,15,7.49
11/4/2013,17,30,7.5
11/4/2013,17,45,7.53
11/4/2013,18,0,7.53
11/4/2013,18,15,7.52
11/4/2013,18,30,7.58
11/4/2013,18,45,7.58
11/4/2013,19,0,7.54
11/4/2013,19,15,7.51
11/4/2013,19,30,7.5
11/4/2013,19,45,7.49
11/4/2013,20,0,7.51
11/4/2013,20,15,7.55
11/4/2013,20,30,7.51
11/4/2013,20,45,7.49
11/4/2013,21,0,7.39
11/4/2013,21,15,7.37
11/4/2013,21,30,7.46
11/4/2013,21,45,7.53
11/4/2013,22,0,7.55
11/4/2013,22,15,7.54
11/4/2013,22,30,7.53
11/4/2013,22,45,7.56
11/4/2013,23,0,7.55
11/4/2013,23,15,7.51
11/4/2013,23,30,7.55
11/4/2013,23,45,7.64
11/4/2013,0,0,7.65
11/4/2013,0,15,7.57
11/4/2013,0,30,7.58
11/4/2013,0,45,7.62
11/4/2013,1,0,7.64
